ID,Date,Amount,Transaction Type,Payment Mode,Person,Description
CB-1785659782062,2026-07-15,573,In,Cash,,કેશ
CB-1785660168907,2026-07-15,4057.8,In,Online,,બઁક
CB-1785661108441,2026-07-17,10,Out,Cash,,દૂધ
CB-1785661207886,2026-07-18,20,Out,Cash,,દૂધ
CB-1785661504415,2026-07-19,49,Out,Online,,નેટ
CB-1785661568391,2026-07-19,155,Out,Cash,,"સેલ(25), પેન(10), ડાયરી(120)"
CB-1785661620408,2026-07-20,10,Out,Cash,,દૂધ
CB-1785661668488,2026-07-21,10,Out,Cash,,દૂધ
CB-1785661699299,2026-07-21,100,Out,Online,,નેટ
